example;regex;series_identifier;with_season;channel
(Staffel 1, Folge 56);\(Staffel (\d+),Folge (\d+)\);topic;true;ard
(S01/E05);\(S(\d+)\/E(\d+)\);topic;true;ard
Staffel 2, Folge 1;Staffel (\d+), Folge (\d+);title;true;hr
Folge 1;Folge (\d+);title;false;hr
Folge 4/15;Folge (\d+)\/(\d+);title;false;hr
Episode 1;Episode (\d+);title;false;all
(5/6);\((\d+)\/(\d+)\);title;false;all
