example;regex;series_identifier;with_season;channel;season_digit;episode_digit
(Staffel 1, Folge 56);\(Staffel (\d+),Folge (\d+)\);topic;true;ard;1;2
Staffel 2, Folge 1;Staffel (\d+), Folge (\d+);title;true;hr;1;2
#001;#(\d+);topic;false;ARD;0;1
(S01/E05);\(S(\d+)\/E(\d+)\);topic;true;ard;1;2
Folge 1;Folge (\d+);topic;false;hr;0;1
Episode 1;Episode (\d+);topic;false;KiKA;0;1
Folge 4/15;Folge (\d+)\/(\d+);title;false;hr;0;1
Staffel 1, Folge 31-35;Staffel (\d+), Folge (\d+)-(\d+);topic;true;hr;1;3
(1/3);\((\d+)\);title;false;ARD;0;1
